"mean_pl","var_pl","mean_iartime","var_iartime","max_length","min_length","num_qosd","num_qosnull","num_other","num_up","num_down","type_of_traffic"
1230.83902575588,444704.864866931,0.00419929039484738,3.88089058498209e-05,3240,138,3572,0,0,2109,1463,"Videocall"
1261.34596605441,499124.24074477,0.00348214209302326,2.89705423359344e-05,3263,150,4301,0,0,2555,1746,"Videocall"
1176.12888162503,491671.127243658,0.00350226389537599,2.37481782998833e-05,3264,138,4282,1,0,2402,1881,"Videocall"
1238.93396226415,515236.386561426,0.00336909458548641,2.50251572950963e-05,3251,138,4448,0,4,2629,1823,"Videocall"
1133.36264470169,456131.634435934,0.00333720663549321,2.2871183283796e-05,3252,138,4492,0,0,2651,1841,"Videocall"
1218.14842711564,506526.750399697,0.00332204985597164,2.35669227393128e-05,3254,138,4514,0,0,2601,1913,"Videocall"
1197.13794749403,504909.399920351,0.003579,2.63910719880615e-05,3240,138,4190,0,0,2301,1889,"Videocall"
1180.44107321966,484055.456020117,0.00376205467770253,2.63216882930455e-05,3242,138,3985,0,3,2098,1890,"Videocall"
1239.25441176471,506040.012238438,0.00367702206423143,2.97880944526755e-05,3263,138,4080,0,0,2423,1657,"Videocall"
1223.79813130071,511840.260517904,0.00368333054599114,3.01671772870239e-05,3263,150,4067,0,0,2424,1643,"Videocall"
1264.74826498423,510879.622144128,0.00315410159865377,2.3662341362071e-05,3252,138,4755,0,0,2451,2304,"Videocall"
1237.18484719864,514620.541710484,0.00317981702398642,2.38542381036693e-05,3242,138,4708,0,4,2497,2215,"Videocall"
1201.49137742851,516978.694085024,0.00327419563318777,2.2035970749227e-05,3263,138,4581,0,0,2551,2030,"Videocall"
1191.09520609319,499291.846860276,0.00336063410262155,2.61180949281698e-05,3198,138,4464,0,0,2204,2260,"Videocall"
1208.08910212474,509415.663448394,0.00342728336380256,2.67834501601442e-05,3252,138,4377,0,0,2442,1935,"Videocall"
1226.90808661069,481670.963041775,0.00331093988950276,2.47969814455464e-05,3264,138,4525,0,1,2808,1718,"Videocall"
1207.64113735382,506285.680591734,0.00343867201834863,2.42255153776018e-05,3264,86,4347,4,10,2606,1755,"Videocall"
1144.91361974406,507960.545679603,0.00342793394285713,2.28070177727225e-05,3264,138,4376,0,0,2390,1986,"Videocall"
1243.42142230026,522262.489323641,0.003291551701427,2.26827224243729e-05,3264,138,4556,0,0,2456,2100,"Videocall"
1221.11372390026,523774.870073174,0.003040300081103,2.0597239230147e-05,3263,138,4929,0,4,2736,2197,"Videocall"
1228.45141969831,502107.128103154,0.00332687463944974,2.44581202898742e-05,3263,150,4508,0,0,2648,1860,"Videocall"
1214.77601607861,518514.964562012,0.00334800312709404,2.2904189448159e-05,3253,138,4478,0,0,2565,1913,"Videocall"
1179.11569688769,479738.400552108,0.00337970651928716,2.21142384452052e-05,3264,150,4434,0,0,2244,2190,"Videocall"
1187.09549071618,481508.846161523,0.00361538760250844,2.67459478726462e-05,3246,138,4146,0,1,2415,1732,"Videocall"
1230.3248963561,486126.96142063,0.00327241292012221,2.32039755985004e-05,3264,86,4568,4,11,2739,1844,"Videocall"
1257.04996727035,498344.718366978,0.00327309209951987,3.36851656177979e-05,3240,86,4515,62,6,2511,2072,"Videocall"
1229.70946236559,517941.097544344,0.00322320176382018,3.4004529491125e-05,3262,86,4579,71,0,2331,2319,"Videocall"
1203.28166700883,486728.143234674,0.00307935564681725,2.10116844785389e-05,3239,138,4866,0,5,2502,2369,"Videocall"
1173.97118345799,496593.93822333,0.00329897161716171,2.09783549193092e-05,3262,138,4534,0,12,2603,1943,"Videocall"
1193.75951086957,470342.390169999,0.00339602989807474,2.45003013629441e-05,3252,138,4416,0,0,2237,2179,"Videocall"
1166.70816848964,503089.934367618,0.0034891231378026,2.29046561526996e-05,3263,150,4297,0,0,2651,1646,"Videocall"
1247.45734367426,499967.159755754,0.00363464387878788,2.85333705998745e-05,3254,138,4125,0,1,2351,1775,"Videocall"
1182.3064060292,501224.984302887,0.00353082685512367,2.82814790711009e-05,3263,138,4244,0,2,2538,1708,"Videocall"
1219.54247181965,512255.584263831,0.0030156557278035,2.04487972366682e-05,3264,138,4968,0,0,2740,2228,"Videocall"
1159.84392581788,506853.238036773,0.00312368799499793,1.95436772286754e-05,3264,138,4799,0,0,2581,2218,"Videocall"
1196.84942253214,504181.44397362,0.00326823343504794,2.17922191325471e-05,3263,150,4585,0,4,2658,1931,"Videocall"
1203.69397645973,485186.382782268,0.00346107525392429,2.50566915819598e-05,3254,138,4333,0,0,2357,1976,"Videocall"
1214.95292887029,508441.85947039,0.00313555095208202,2.13299158045896e-05,3253,138,4780,0,0,2712,2068,"Videocall"
1214.84772154797,535551.037044166,0.00343282478240952,2.2407885488878e-05,3263,138,4367,0,0,2263,2104,"Videocall"
1198.90568654646,500087.196189621,0.00346723907514451,2.48627724303361e-05,3263,138,4326,0,0,2322,2004,"Videocall"
1156.91320072333,475137.467933321,0.00338959687994575,2.26508528860744e-05,3263,138,4423,0,1,2625,1799,"Videocall"
1173.07621009269,494827.189081637,0.0030882204367532,2.12404932994293e-05,3262,138,4853,0,2,2808,2047,"Videocall"
1221.65026624068,499403.852521766,0.00319446974861527,2.2665179575794e-05,3254,138,4695,0,0,2470,2225,"Videocall"
1198.88472762646,481932.275689831,0.00364678934565798,2.44036293088931e-05,3241,150,4108,0,4,2044,2068,"Videocall"
1214.71431713217,493816.648459735,0.00329759392872855,2.32555138667511e-05,3263,138,4547,0,0,2573,1974,"Videocall"
