"No.","Time","Source","Destination","Length","RSSI","Protocol","Info"
"27222","243.181150","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","174","-29 dBm","802.11","QoS Data, SN=323, FN=0, Flags=.p.....TC"
"27228","243.251380","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","164","-49 dBm","802.11","QoS Data, SN=2955, FN=0, Flags=.p....F.C"
"27486","246.576598","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","260","-29 dBm","802.11","QoS Data, SN=929, FN=0, Flags=.p.....TC"
"27488","246.579296","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","268","-49 dBm","802.11","QoS Data, SN=2956, FN=0, Flags=.p....F.C"
"27493","246.622868","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","150","-29 dBm","802.11","QoS Data, SN=930, FN=0, Flags=.p.....TC"
"27551","247.218536","IntelCor_d2:f7:08","01:00:5e:00:00:fc","142","-29 dBm","802.11","QoS Data, SN=931, FN=0, Flags=.p.....TC"
"27554","247.234928","IntelCor_d2:f7:08","01:00:5e:00:00:fc","140","-51 dBm","802.11","Data, SN=2737, FN=0, Flags=.p....F.C"
"27557","247.235135","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","260","-29 dBm","802.11","QoS Data, SN=932, FN=0, Flags=.p.....TC"
"27559","247.236754","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","268","-53 dBm","802.11","QoS Data, SN=3745, FN=0, Flags=.p....F.C"
"27561","247.237742","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-62 dBm","802.11","QoS Data, SN=1684, FN=0, Flags=.p.....TC"
"27563","247.238821","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-50 dBm","802.11","QoS Data, SN=2957, FN=0, Flags=.p....F.C"
"27571","247.281579","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","150","-29 dBm","802.11","QoS Data, SN=933, FN=0, Flags=.p.....TC"
"27573","247.282727","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","158","-51 dBm","802.11","QoS Data, SN=3746, FN=0, Flags=.p....F.C"
"28197","250.994769","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","151","-28 dBm","802.11","QoS Data, SN=934, FN=0, Flags=.p.....TC"
"28199","251.001957","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","164","-53 dBm","802.11","QoS Data, SN=2958, FN=0, Flags=.p....F.C"
"28233","251.591647","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","260","-29 dBm","802.11","QoS Data, SN=935, FN=0, Flags=.p.....TC"
"28236","251.594085","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","268","-51 dBm","802.11","QoS Data, SN=2959, FN=0, Flags=.p....F.C"
"28242","251.639617","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","150","-28 dBm","802.11","QoS Data, SN=936, FN=0, Flags=.p.....TC"
"28250","251.807132","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","164","-50 dBm","802.11","QoS Data, SN=1123, FN=0, Flags=.p....F.C"
"28254","251.807708","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","138","-30 dBm","802.11","QoS Data, SN=937, FN=0, Flags=.p.....TC"
"28327","252.248819","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","260","-28 dBm","802.11","QoS Data, SN=938, FN=0, Flags=.p.....TC"
"28329","252.249806","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","268","-50 dBm","802.11","QoS Data, SN=3752, FN=0, Flags=.p....F.C"
"28331","252.250953","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-63 dBm","802.11","QoS Data, SN=1690, FN=0, Flags=.p.....TC"
"28336","252.254302","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-48 dBm","802.11","QoS Data, SN=2960, FN=0, Flags=.p....F.C"
"28341","252.295560","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","150","-29 dBm","802.11","QoS Data, SN=939, FN=0, Flags=.p.....TC"
"28343","252.296298","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","158","-52 dBm","802.11","QoS Data, SN=3753, FN=0, Flags=.p....F.C"
"28657","255.926071","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","599","-50 dBm","802.11","QoS Data, SN=2961, FN=0, Flags=.p....F.C"
"28662","255.982002","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","150","-29 dBm","802.11","QoS Data, SN=940, FN=0, Flags=.p.....TC"
"28729","256.607029","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","260","-29 dBm","802.11","QoS Data, SN=941, FN=0, Flags=.p.....TC"
"28732","256.611709","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","268","-50 dBm","802.11","QoS Data, SN=2962, FN=0, Flags=.p....F.C"
"28739","256.659810","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","150","-29 dBm","802.11","QoS Data, SN=942, FN=0, Flags=.p.....TC"
"28784","257.255648","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","260","-29 dBm","802.11","QoS Data, SN=943, FN=0, Flags=.p.....TC"
"28786","257.256767","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","268","-53 dBm","802.11","QoS Data, SN=3764, FN=0, Flags=.p....F.C"
"28788","257.257782","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-68 dBm","802.11","QoS Data, SN=1704, FN=0, Flags=.p.....TC"
"28790","257.258927","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-51 dBm","802.11","QoS Data, SN=2963, FN=0, Flags=.p....F.C"
