"No.","Time","Source","Destination","Length","RSSI","Protocol","Info"
"2167","35.277173653","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=908, FN=0, Flags=.p..R..TC"
"2171","35.277707592","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","166","-54 dBm","802.11","QoS Data, SN=1693, FN=0, Flags=.p....F.C"
"2172","35.277711901","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","166","-54 dBm","802.11","QoS Data, SN=1694, FN=0, Flags=.p....F.C"
"2173","35.277716127","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","499","-54 dBm","802.11","QoS Data, SN=1695, FN=0, Flags=.p....F.C"
"2177","35.280649239","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1374","-54 dBm","802.11","QoS Data, SN=1696, FN=0, Flags=.p....F.C"
"2178","35.280653708","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","311","-54 dBm","802.11","QoS Data, SN=1697, FN=0, Flags=.p....F.C"
"2179","35.280660590","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","222","-54 dBm","802.11","QoS Data, SN=1698, FN=0, Flags=.p....F.C"
"2180","35.280665153","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","257","-54 dBm","802.11","QoS Data, SN=1699, FN=0, Flags=.p....F.C"
"2181","35.280668226","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1546","-54 dBm","802.11","QoS Data, SN=1700, FN=0, Flags=.p....F.C"
"2182","35.280671151","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1176","-54 dBm","802.11","QoS Data, SN=1701, FN=0, Flags=.p....F.C"
"2183","35.280674073","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1546","-54 dBm","802.11","QoS Data, SN=1702, FN=0, Flags=.p....F.C"
"2184","35.280677045","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1177","-54 dBm","802.11","QoS Data, SN=1703, FN=0, Flags=.p....F.C"
"2186","35.281227673","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=909, FN=0, Flags=.p.....TC"
"2188","35.281601966","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=910, FN=0, Flags=.p.....TC"
"2189","35.281615107","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=911, FN=0, Flags=.p.....TC"
"2190","35.281618640","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=912, FN=0, Flags=.p.....TC"
"2191","35.281909067","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=910, FN=0, Flags=.p..R..TC"
"2192","35.281912861","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=911, FN=0, Flags=.p..R..TC"
"2193","35.281916173","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=912, FN=0, Flags=.p..R..TC"
"2194","35.282157956","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=910, FN=0, Flags=.p..R..TC"
"2195","35.282162155","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=911, FN=0, Flags=.p..R..TC"
"2196","35.282165369","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=912, FN=0, Flags=.p..R..TC"
"2197","35.282546229","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=910, FN=0, Flags=.p..R..TC"
"2198","35.282548177","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=911, FN=0, Flags=.p..R..TC"
"2199","35.282551359","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=912, FN=0, Flags=.p..R..TC"
"2201","35.303249527","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","575","-34 dBm","802.11","QoS Data, SN=913, FN=0, Flags=.p.....TC"
"2204","35.308257061","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","378","-55 dBm","802.11","QoS Data, SN=1705, FN=0, Flags=.p....F.C"
"2206","35.308625857","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","573","-34 dBm","802.11","QoS Data, SN=914, FN=0, Flags=.p.....TC"
"2208","35.308898803","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=915, FN=0, Flags=.p.....TC"
"2212","35.311202792","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","166","-55 dBm","802.11","QoS Data, SN=1706, FN=0, Flags=.p....F.C"
"2227","35.315478301","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","378","-55 dBm","802.11","QoS Data, SN=1707, FN=0, Flags=.p....F.C"
"2229","35.316442354","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","166","-34 dBm","802.11","QoS Data, SN=916, FN=0, Flags=.p.....TC"
"2235","35.356511590","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1374","-55 dBm","802.11","QoS Data, SN=1708, FN=0, Flags=.p....F.C"
"2239","35.357713986","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1374","-55 dBm","802.11","QoS Data, SN=1709, FN=0, Flags=.p....F.C"
"2240","35.357726878","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1374","-55 dBm","802.11","QoS Data, SN=1710, FN=0, Flags=.p....F.C"
"2241","35.357731025","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","222","-55 dBm","802.11","QoS Data, SN=1711, FN=0, Flags=.p....F.C"
"2245","35.384005914","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1374","-55 dBm","802.11","QoS Data, SN=1712, FN=0, Flags=.p....F.C"
"2249","35.384699362","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","311","-55 dBm","802.11","QoS Data, SN=1713, FN=0, Flags=.p....F.C"
"2250","35.384703542","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","222","-55 dBm","802.11","QoS Data, SN=1714, FN=0, Flags=.p....F.C"
"2265","35.444614339","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","505","-51 dBm","802.11","QoS Data, SN=1715, FN=0, Flags=.p..R.F.C"
"2267","35.459698877","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","1374","-33 dBm","802.11","QoS Data, SN=918, FN=0, Flags=.p.....TC"
"2287","35.468900240","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1374","-51 dBm","802.11","QoS Data, SN=1716, FN=0, Flags=.p..R.F.C"
"2292","35.471194312","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1374","-51 dBm","802.11","QoS Data, SN=1716, FN=0, Flags=.p..R.F.C"
"2307","35.477818320","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1374","-51 dBm","802.11","QoS Data, SN=1717, FN=0, Flags=.p..R.F.C"
"2308","35.477830052","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","311","-51 dBm","802.11","QoS Data, SN=1718, FN=0, Flags=.p..R.F.C"
"2309","35.477835161","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","222","-51 dBm","802.11","QoS Data, SN=1719, FN=0, Flags=.p..R.F.C"
"2329","35.486379689","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1374","-51 dBm","802.11","QoS Data, SN=1717, FN=0, Flags=.p..R.F.C"
"2330","35.486384168","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","311","-51 dBm","802.11","QoS Data, SN=1718, FN=0, Flags=.p..R.F.C"
"2331","35.486385783","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","222","-51 dBm","802.11","QoS Data, SN=1719, FN=0, Flags=.p..R.F.C"
