"mean_pl","var_pl","mean_iartime","var_iartime","max_length","min_length","num_qosd","num_qosnull","num_other","num_up","num_down","type_of_traffic"
2169.72900763359,1668486.90329326,0.0563842796934866,0.162983063478525,3160,138,262,0,0,61,201,"Idle"
215.675213675214,70137.238432066,0.128313672413793,0.268174131772935,2668,86,82,33,2,88,29,"Idle"
430.403846153846,499990.990573152,0.250310803921569,0.59420865476576,3160,138,52,0,0,30,22,"Idle"
219.486486486486,4853.59009009009,0.412208055555556,1.30629539239994,463,138,37,0,0,24,13,"Idle"
249.716666666667,19552.2742937853,0.249069847457627,0.428454405871235,713,138,56,0,4,36,24,"Idle"
225.666666666667,9904.56737588653,0.227861234042553,0.341033212313836,782,138,48,0,0,27,21,"Idle"
227.615384615385,5111.55870445344,0.310709631578947,0.901974336703264,431,138,39,0,0,25,14,"Idle"
272.769230769231,51124.6515837104,0.272711666666667,0.481102669207906,1242,138,51,0,1,30,22,"Idle"
332.813559322034,85270.2232612507,0.205955379310345,0.244433702846979,1352,138,57,0,2,32,27,"Idle"
265.355555555556,63797.597979798,0.243169795454546,0.732949948384447,1665,138,45,0,0,29,16,"Idle"
293.97619047619,106307.828687573,0.273471780487805,0.823630634477374,2264,138,42,0,0,26,16,"Idle"
398.03,328757.12030303,0.127529474747475,0.115730265466824,2716,138,100,0,0,53,47,"Idle"
1805.17857142857,1812873.32615112,0.0398628705234159,0.0438836452991239,3156,138,360,0,4,100,264,"Idle"
463.038461538462,252126.658700523,0.104689893203884,0.0867088141190974,3156,138,104,0,0,51,53,"Idle"
214.636363636364,3208.61363636364,0.33608171875,0.859939806184659,268,138,33,0,0,22,11,"Idle"
214.578125,11507.136656746,0.210131396825397,0.404768524255824,858,138,62,0,2,36,28,"Idle"
220.648648648649,7196.17867867868,0.398852277777778,0.979230958747058,599,138,36,0,1,23,14,"Idle"
205.561403508772,4137.32205513784,0.262637321428571,0.496932572961747,479,138,57,0,0,34,23,"Idle"
512.512820512821,435622.141978022,0.0405402514285713,0.0883442992878448,3140,138,351,0,0,216,135,"Idle"
400.273684210526,347081.520044793,0.123441957446808,0.147067742883201,3140,138,95,0,0,57,38,"Idle"
275.469696969697,24124.7452214452,0.165807923076923,0.215285546226386,713,138,62,0,4,38,28,"Idle"
217.398058252427,77147.7713687417,0.137695568627451,0.170384201096585,2668,86,65,34,4,75,28,"Idle"
223.269230769231,7594.94570135747,0.285363509803922,0.78716743779346,631,138,52,0,0,31,21,"Idle"
242.489361702128,19115.6901017576,0.255805934782608,0.560521751220908,986,150,47,0,0,27,20,"Idle"
469.4,153215.03030303,0.12433497979798,0.0880252848829406,1484,138,85,0,15,71,29,"Idle"
1788.66066066066,1842242.17667065,0.0359221716867469,0.0507948311392243,3020,138,333,0,0,96,237,"Idle"
355.467532467532,260292.120642515,0.16995922368421,0.220833841821803,3250,150,77,0,0,48,29,"Idle"
192.928571428571,6651.98033126294,0.164606637681159,0.238011085159707,514,86,55,5,10,40,30,"Idle"
295.591836734694,33956.0799319728,0.264307,0.493961176464813,1084,150,45,0,4,31,18,"Idle"
213.024390243902,3431.8243902439,0.313118825000001,0.49981884762741,282,138,41,0,0,23,18,"Idle"
212.619047619048,3556.24157955865,0.286799487804878,0.45634194312627,386,150,42,0,0,27,15,"Idle"
239.051282051282,12010.2604588394,0.307526631578946,0.926108218087319,631,138,39,0,0,23,16,"Idle"
197.933333333333,3148.24545454545,0.283293113636363,0.471140027689258,268,138,43,0,2,29,16,"Idle"
219.756097560976,3829.08902439024,0.3671728,0.937938247590373,407,138,40,0,1,24,17,"Idle"
212.95652173913,3293.42028985507,0.249818955555554,0.612377003516686,335,138,46,0,0,28,18,"Idle"
222.694444444444,3817.41825396825,0.312904857142858,1.00340284531614,399,138,36,0,0,23,13,"Idle"
284.727272727273,32648.9057239057,0.246786314814815,0.488071775533362,938,138,51,0,4,35,20,"Idle"
225.434782608696,7063.27342995169,0.249106511111111,0.255228279049664,535,138,46,0,0,26,20,"Idle"
446.578431372549,414438.226460881,0.115346168316832,0.263702068454866,3140,138,102,0,0,57,45,"Idle"
2027.58227848101,1698324.11701828,0.0355610666666666,0.117812109673597,3020,138,316,0,0,80,236,"Idle"
229.416666666667,5111.39285714286,0.308037800000001,0.90871736001061,511,150,36,0,0,23,13,"Idle"
167.096385542169,7609.3076697032,0.131471280487805,0.125404619052034,514,86,48,30,5,64,19,"Idle"
204.348837209302,3094.47065337763,0.256631357142859,0.459720518350966,268,138,43,0,0,27,16,"Idle"
232.769230769231,4016.4979757085,0.322218105263157,0.650041286556553,399,150,38,0,1,25,14,"Idle"
277.462962962963,21389.6118099231,0.218411,0.232690968170542,713,150,51,0,3,30,24,"Idle"
273.809523809524,108794.67281106,0.178201274193549,0.373046070219682,2669,138,63,0,0,39,24,"Idle"
228.761904761905,9428.77119628339,0.264487024390244,0.56296260910937,682,150,42,0,0,25,17,"Idle"
305.02380952381,44639.975029036,0.296713439024391,0.484662966227511,946,150,42,0,0,23,19,"Idle"
346.966666666667,64158.2700564972,0.205828322033898,0.230230791970021,948,138,60,0,0,27,33,"Idle"
212.05,3569.89487179487,0.276909435897437,0.568480244106826,319,140,37,0,3,28,12,"Idle"
376.508196721311,259518.087431694,0.213520666666667,0.439799619863416,3208,138,61,0,0,38,23,"Idle"
232.565217391304,9652.60676328502,0.259127622222223,0.441819477656783,583,138,46,0,0,28,18,"Idle"
341.172413793103,81264.6656671664,0.101589904347827,0.149380481260488,2668,150,112,0,4,58,58,"Idle"
