"mean_pl","var_pl","mean_iartime","var_iartime","max_length","min_length","num_qosd","num_qosnull","num_other","num_up","num_down","type_of_traffic"
326.781789638932,36371.0073408173,0.0234690738993711,0.000709737641750437,840,86,609,26,2,363,274,"VoIP"
343.10752688172,72613.0530355666,0.02301176,0.000787822795181136,2716,86,612,31,8,366,285,"VoIP"
328.704620462046,35152.0167389466,0.0247288165289256,0.000834033458534155,880,86,572,34,0,342,264,"VoIP"
338.401015228426,36697.0846769337,0.0252974220338983,0.000829959135629733,841,86,566,21,4,326,265,"VoIP"
337.330749354005,34775.9033999552,0.0193541539456662,0.000713501186487924,809,86,732,42,0,444,330,"VoIP"
326.350793650794,34398.3966209907,0.0237847551669316,0.000762427518898587,753,86,584,46,0,356,274,"VoIP"
343.685524126456,72629.3926067665,0.0248397633333333,0.000725659124010664,2716,86,565,36,0,331,270,"VoIP"
336.449013157895,38664.7684010015,0.0246195090609555,0.000770105550124936,909,86,561,47,0,340,268,"VoIP"
341.543269230769,40318.3673061489,0.0240255730337079,0.000717398170978158,970,86,588,34,2,353,271,"VoIP"
573.134638922889,553196.251457988,0.0183527475490196,0.000664782633523947,3250,86,796,20,1,437,380,"VoIP"
373.765083440308,191489.622121169,0.0191939858611825,0.00058607237755063,3140,86,644,125,10,462,317,"VoIP"
355.701754385965,33250.7931427867,0.026279776801406,0.00101014251139196,812,150,566,0,4,289,281,"VoIP"
363.308771929825,40599.0995714242,0.0263065782073814,0.00100070195457177,805,138,570,0,0,284,286,"VoIP"
375.005494505494,43968.376116544,0.0274164403669725,0.000871072092721116,842,138,546,0,0,271,275,"VoIP"
362.455357142857,40131.937180552,0.0268035366726297,0.000828889570740144,1261,138,560,0,0,283,277,"VoIP"
381.003110419907,39950.573199033,0.0231935778816199,0.000886257769648379,1004,138,643,0,0,353,290,"VoIP"
380.170111287758,42378.2847103379,0.0237363073248408,0.000854087712423644,922,138,628,0,1,309,320,"VoIP"
1149.78465608466,1588523.11453416,0.00788532292218106,0.000363219614859652,3210,138,1885,0,5,829,1061,"VoIP"
355.648780487805,41565.8340986732,0.0242353973941368,0.000791286987244827,1697,138,615,0,0,297,318,"VoIP"
380.095406360424,52789.8068107195,0.02635916460177,0.000704322915563252,2904,138,562,0,4,285,281,"VoIP"
360.363636363636,39430.0351051499,0.0271706229508197,0.000776409781727985,813,138,550,0,0,285,265,"VoIP"
1019.75114364135,1384256.17977204,0.0136846098901099,0.000578770080579106,3208,138,1093,0,0,483,610,"VoIP"
1412.21058257616,1813852.54172752,0.00800060695187167,0.000327899516092077,3220,150,1871,0,0,723,1148,"VoIP"
375.326889279438,61671.1183073838,0.0263541971830986,0.000687933182366714,3140,138,569,0,0,297,272,"VoIP"
355.913194444444,39744.1141908213,0.0259123339130435,0.000788929996083403,814,140,575,0,1,296,280,"VoIP"
366.590909090909,38141.4735055473,0.0271287759562841,0.000753559165071941,903,140,549,0,1,270,280,"VoIP"
370.859560067682,41814.8361753994,0.0252578118644068,0.000761962640190311,817,138,591,0,0,306,285,"VoIP"
379.291139240506,45546.3661713447,0.0269968170289855,0.000731879555460075,1242,138,549,0,4,279,274,"VoIP"
364.523291925466,38852.3711518213,0.0232692534992224,0.000784869325871776,880,138,644,0,0,296,348,"VoIP"
390.653333333333,85820.4163773921,0.0199850974632844,0.000715267004253916,3140,138,750,0,0,387,363,"VoIP"
1745.76106594399,2020483.25467866,0.00676226525079079,0.000282933665587391,3241,86,2087,120,7,755,1459,"VoIP"
352.078364565588,36086.8027222355,0.0255357252559727,0.00082433259142364,769,138,587,0,0,295,292,"VoIP"
385.698697068404,69293.1896557221,0.0244267569331159,0.000743857782347689,3156,138,613,0,1,295,319,"VoIP"
359.270085470085,40144.7933672872,0.0256574965753425,0.000726405165207587,1275,138,582,0,3,300,285,"VoIP"
373.533678756477,87130.2769779658,0.0259245709342559,0.000759561481718624,2716,138,579,0,0,287,292,"VoIP"
343.718232044199,31130.6972131047,0.02745936900369,0.000811769555930209,738,138,539,0,4,278,265,"VoIP"
356.617391304348,39380.4979548553,0.0259496341463414,0.000819262531038685,848,138,575,0,0,301,274,"VoIP"
414.238410596026,98208.47374606,0.0247181409618574,0.000669503798443565,2716,138,591,0,13,322,282,"VoIP"
367.290035587189,43488.8087775388,0.026558568627451,0.000719352450295806,835,146,562,0,0,284,278,"VoIP"
358.248263888889,44835.4878230676,0.0259696295652172,0.000730342392034971,1805,138,576,0,0,296,280,"VoIP"
359.28233151184,37517.1555449191,0.0273483886861313,0.00072820160280868,776,138,549,0,0,279,270,"VoIP"
351.572222222222,36796.3083178726,0.0277677551020408,0.000800704200438016,925,138,538,0,2,296,244,"VoIP"
383.154237288136,42651.1561365141,0.0253640713073005,0.000789217113137846,813,138,590,0,0,299,291,"VoIP"
369.827586206897,39360.8648680841,0.0258153005181349,0.000733146407985639,905,138,576,0,4,298,282,"VoIP"
370.547085201794,38294.6583335571,0.0224431676646706,0.000640399647510319,817,138,669,0,0,315,354,"VoIP"
363.013490725126,34420.5910339091,0.0253165793918918,0.000685780185249194,933,138,593,0,0,293,300,"VoIP"
357.277777777778,36256.4918212647,0.0268754093357271,0.000704198283281668,740,138,558,0,0,276,282,"VoIP"
358.433447098976,44304.5947084391,0.0255664376068376,0.000592604023380122,2716,138,586,0,0,287,299,"VoIP"
351.75,36345.3288431062,0.0237206085578446,0.000557158184187781,1512,138,632,0,0,317,315,"VoIP"
368.44167962675,37802.1784470187,0.0233540171339563,0.000669572585754816,1225,138,643,0,0,316,327,"VoIP"
