"No.","Time","Source","Destination","Length","RSSI","Protocol","Info"
"168482","1013.567025","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2036, FN=0, Flags=.p..R.F.C"
"168483","1013.567030","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","749","-51 dBm","802.11","QoS Data, SN=2037, FN=0, Flags=.p..R.F.C"
"168486","1013.567775","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1598","-51 dBm","802.11","QoS Data, SN=2029, FN=0, Flags=.p..R.F.C"
"168487","1013.569495","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2030, FN=0, Flags=.p..R.F.C"
"168488","1013.569513","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2031, FN=0, Flags=.p..R.F.C"
"168489","1013.569520","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2032, FN=0, Flags=.p..R.F.C"
"168490","1013.569527","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2033, FN=0, Flags=.p..R.F.C"
"168491","1013.569534","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2034, FN=0, Flags=.p..R.F.C"
"168492","1013.569541","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2035, FN=0, Flags=.p..R.F.C"
"168493","1013.569549","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2036, FN=0, Flags=.p..R.F.C"
"168494","1013.569557","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","749","-51 dBm","802.11","QoS Data, SN=2037, FN=0, Flags=.p..R.F.C"
"168497","1013.571690","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1598","-51 dBm","802.11","QoS Data, SN=2029, FN=0, Flags=.p..R.F.C"
"168498","1013.571708","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2030, FN=0, Flags=.p..R.F.C"
"168499","1013.571715","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2031, FN=0, Flags=.p..R.F.C"
"168500","1013.571722","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2032, FN=0, Flags=.p..R.F.C"
"168501","1013.571729","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2033, FN=0, Flags=.p..R.F.C"
"168502","1013.571736","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2034, FN=0, Flags=.p..R.F.C"
"168503","1013.571743","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2035, FN=0, Flags=.p..R.F.C"
"168504","1013.571750","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2036, FN=0, Flags=.p..R.F.C"
"168505","1013.571754","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","749","-51 dBm","802.11","QoS Data, SN=2037, FN=0, Flags=.p..R.F.C"
"168508","1013.573686","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1598","-51 dBm","802.11","QoS Data, SN=2029, FN=0, Flags=.p..R.F.C"
"168509","1013.573704","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2030, FN=0, Flags=.p..R.F.C"
"168510","1013.573712","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2031, FN=0, Flags=.p..R.F.C"
"168511","1013.573719","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2032, FN=0, Flags=.p..R.F.C"
"168512","1013.573738","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2033, FN=0, Flags=.p..R.F.C"
"168513","1013.573746","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2034, FN=0, Flags=.p..R.F.C"
"168514","1013.573754","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2035, FN=0, Flags=.p..R.F.C"
"168515","1013.573761","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2036, FN=0, Flags=.p..R.F.C"
"168516","1013.573775","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","749","-51 dBm","802.11","QoS Data, SN=2037, FN=0, Flags=.p..R.F.C"
"168519","1013.575810","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1598","-51 dBm","802.11","QoS Data, SN=2029, FN=0, Flags=.p..R.F.C"
"168520","1013.575824","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2030, FN=0, Flags=.p..R.F.C"
"168521","1013.575831","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2031, FN=0, Flags=.p..R.F.C"
"168522","1013.575838","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2032, FN=0, Flags=.p..R.F.C"
"168523","1013.575845","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2033, FN=0, Flags=.p..R.F.C"
"168524","1013.575852","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2034, FN=0, Flags=.p..R.F.C"
"168525","1013.575859","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2035, FN=0, Flags=.p..R.F.C"
"168526","1013.575872","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2036, FN=0, Flags=.p..R.F.C"
"168527","1013.575878","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","749","-51 dBm","802.11","QoS Data, SN=2037, FN=0, Flags=.p..R.F.C"
"168529","1013.577652","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1598","-51 dBm","802.11","QoS Data, SN=2029, FN=0, Flags=.p..R.F.C"
"168530","1013.577670","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2030, FN=0, Flags=.p..R.F.C"
"168531","1013.577678","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2031, FN=0, Flags=.p..R.F.C"
"168532","1013.577684","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2032, FN=0, Flags=.p..R.F.C"
"168533","1013.577692","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2033, FN=0, Flags=.p..R.F.C"
"168534","1013.578120","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2034, FN=0, Flags=.p..R.F.C"
"168535","1013.578143","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2035, FN=0, Flags=.p..R.F.C"
"168537","1013.578745","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2036, FN=0, Flags=.p..R.F.C"
"168541","1013.578956","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-25 dBm","802.11","QoS Data, SN=2416, FN=0, Flags=.p.....TC"
"168542","1013.578970","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-25 dBm","802.11","QoS Data, SN=2417, FN=0, Flags=.p.....TC"
"168543","1013.578977","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-25 dBm","802.11","QoS Data, SN=2418, FN=0, Flags=.p.....TC"
"168544","1013.578981","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-25 dBm","802.11","QoS Data, SN=2419, FN=0, Flags=.p.....TC"
"168545","1013.578987","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-25 dBm","802.11","QoS Data, SN=2420, FN=0, Flags=.p.....TC"
"168546","1013.578994","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-25 dBm","802.11","QoS Data, SN=2421, FN=0, Flags=.p.....TC"
"168550","1013.579199","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-25 dBm","802.11","QoS Data, SN=2422, FN=0, Flags=.p.....TC"
"168551","1013.579203","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-25 dBm","802.11","QoS Data, SN=2423, FN=0, Flags=.p.....TC"
"168555","1013.582188","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","1051","-25 dBm","802.11","QoS Data, SN=2424, FN=0, Flags=.p.....TC"
"168559","1013.582642","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","1059","-25 dBm","802.11","QoS Data, SN=2425, FN=0, Flags=.p.....TC"
"168560","1013.582655","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","1059","-25 dBm","802.11","QoS Data, SN=2426, FN=0, Flags=.p.....TC"
"168564","1013.583133","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","979","-25 dBm","802.11","QoS Data, SN=2427, FN=0, Flags=.p.....TC"
"168565","1013.583145","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","1059","-25 dBm","802.11","QoS Data, SN=2425, FN=0, Flags=.p.....TC"
"168566","1013.583151","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","979","-25 dBm","802.11","QoS Data, SN=2428, FN=0, Flags=.p.....TC"
"168570","1013.583536","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","979","-25 dBm","802.11","QoS Data, SN=2429, FN=0, Flags=.p.....TC"
"168571","1013.583549","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","979","-25 dBm","802.11","QoS Data, SN=2427, FN=0, Flags=.p.....TC"
"168575","1013.600510","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1219","-51 dBm","802.11","QoS Data, SN=2038, FN=0, Flags=.p....F.C"
"168579","1013.602189","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","971","-26 dBm","802.11","QoS Data, SN=2430, FN=0, Flags=.p.....TC"
"168582","1013.602750","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","971","-25 dBm","802.11","QoS Data, SN=2430, FN=0, Flags=.p.....TC"
"168584","1013.604015","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1219","-51 dBm","802.11","QoS Data, SN=2039, FN=0, Flags=.p....F.C"
"168586","1013.605408","","a4:42:3b:d2:f7:08","3233","-51 dBm","802.11","QoS Data, SN=2040, FN=0, Flags=.p....F.C"
"168589","1013.605502","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","1195","-26 dBm","802.11","QoS Data, SN=2431, FN=0, Flags=.p.....TC"
"168592","1013.606154","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","1195","-25 dBm","802.11","QoS Data, SN=2431, FN=0, Flags=.p..R..TC"
"168595","1013.607215","","a4:42:3b:d2:f7:08","3233","-51 dBm","802.11","QoS Data, SN=2040, FN=0, Flags=.p..R.F.C"
"168596","1013.607228","","a4:42:3b:d2:f7:08","2736","-51 dBm","802.11","QoS Data, SN=2041, FN=0, Flags=.p....F.C"
"168597","1013.607235","","a4:42:3b:d2:f7:08","1761","-51 dBm","802.11","QoS Data, SN=2042, FN=0, Flags=.p....F.C"
"168603","1013.609337","","a4:42:3b:d2:f7:08","3233","-51 dBm","802.11","QoS Data, SN=2040, FN=0, Flags=.p..R.F.C"
"168604","1013.609354","","a4:42:3b:d2:f7:08","1761","-51 dBm","802.11","QoS Data, SN=2042, FN=0, Flags=.p..R.F.C"
"168605","1013.609362","","a4:42:3b:d2:f7:08","3186","-51 dBm","802.11","QoS Data, SN=2043, FN=0, Flags=.p....F.C"
"168609","1013.609593","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","150","-28 dBm","802.11","QoS Data, SN=2432, FN=0, Flags=.p.....TC"
"168613","1013.609902","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-26 dBm","802.11","QoS Data, SN=2433, FN=0, Flags=.p.....TC"
"168614","1013.609911","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-26 dBm","802.11","QoS Data, SN=2434, FN=0, Flags=.p.....TC"
